Location,Property_Type,Price_Listing,Property_Sqft,Property_Tax,Bed,Bath
"5 GORDON Street Unit# 200, Guelph, ON",Condo,598500,889,N/A,2,1
"5287 WOOLWICH-GUELPH Townline, Guelph, ON",Vacant Land,999999,N/A,1534,N/A,0
"98 SNYDER'S ROAD, Wilmot, ON",Single Family,669900,N/A,3328 (2024),4,2
"139 MILL RACE Crescent, St. Jacobs, ON",Single Family,899900,2000,N/A,3,3
"414 - 312 ERB STREET W, Waterloo, ON",Condo,449000,N/A,N/A,1,1
"35 DAYMOND Drive, Puslinch, ON",Single Family,6499000,8260,17492,4,4
"110 IRON GATE Street, Kitchener, ON",Single Family,789900,1793,N/A,4,3
"2086 NITHVIEW Court, Nithburg, ON",Single Family,1749500,4798,N/A,4,4
"375 KING Street N Unit# 1906, Waterloo, ON",Condo,389900,1175,N/A,3,2
"1805 - 158 KING STREET N, Waterloo, ON",Condo,580000,N/A,N/A,2,2
"79 SEVERN Drive, Guelph, ON",Single Family,725000,N/A,N/A,3,2
"58 ATTWATER DRIVE, Cambridge, ON",Single Family,899900,N/A,N/A,3,3
"4678 LOBSINGER Line, Crosshill, ON",Single Family,2750000,5950,N/A,7,4
"# 1 - 429 KEATS WAY, Waterloo, ON",Condo,499000,N/A,3054,5,3
"27 GARLAND AVENUE, Cambridge, ON",Single Family,1149000,N/A,N/A,4,3
"E4 - 410 NORTHFIELD DRIVE W, Waterloo, ON",Condo,699900,N/A,N/A,2,3
"8 - 31 MILL STREET, Kitchener, ON",Condo,641700,N/A,N/A,2,2
"1204 - 2152 LAWRENCE AVENUE, Toronto (Wexford Maryvale), ON",Condo,569700,N/A,N/A,2,2
"130 BRIDGEPORT Road E, Waterloo, ON",MultiFamily,714900,1724,N/A,4,3
"105 WOODBINE AVENUE, Kitchener, ON",Single Family,798000,N/A,4012 (2024),3,2
"26 CARINA Street Unit# LOT 14, Kitchener, ON",Single Family,1199900,2642,N/A,4,3
"1153 - 258A SUNVIEW STREET, Waterloo, ON",Condo,458000,N/A,N/A,2,1
"280 THALER Avenue Unit# 31, Kitchener, ON",Condo,499000,N/A,N/A,3,2
"2601 - 108 GARMENT STREET, Kitchener, ON",Condo,415000,N/A,N/A,1,1
"57 MAX BECKER DRIVE, Kitchener, ON",Single Family,724900,N/A,3678,4,3
"1005 - 150 WATER ST STREET, Cambridge, ON",Condo,400000,N/A,3492 (2024),1,1
"4663 WELLINGTON 35 ROAD, Puslinch, ON",Single Family,2200000,N/A,8400 (2024),6,5
"903 - 71 WYNDHAM STREET S, Guelph (Two Rivers), ON",Condo,829000,N/A,2800,2,2
"150 WATER Street Unit# 1005, Cambridge, ON",Condo,400000,640,3492,2,1
"375 KING Street N Unit# 104, Waterloo, ON",Condo,349500,1449,2276,3,2
"375 KING Street N Unit# 1502, Waterloo, ON",Condo,424900,1175,N/A,3,2
"228 - 110 FERGUS AVENUE, Kitchener, ON",Condo,519900,N/A,N/A,2,2
"51 ROSSFORD CRESCENT E, Kitchener, ON",Single Family,800000,N/A,3393 (2024),3,2
"257 HEMLOCK STREET Unit# 213, Waterloo, ON",Condo,379000,520,2820,1,1
"216 - 318 SPRUCE STREET, Waterloo, ON",Condo,349000,N/A,N/A,1,1
"34 HOPE Street E, Tavistock, ON",Vacant Land,689900,N/A,4090,N/A,0
"34 HOPE Street E, Tavistock, ON",Single Family,689900,1050,4090,N/A,0
"288 SALISBURY AVENUE, Cambridge, ON",Single Family,838888,N/A,N/A,4,3
"250 KEATS Way Unit# 26, Waterloo, ON",Condo,540000,N/A,N/A,4,3
"13489 FOURTH LINE, Milton (Nassagaweya), ON",Single Family,3100000,N/A,N/A,2,2
"51 SORRENTO STREET, Kitchener, ON",Single Family,699000,N/A,3260,3,3
"2850 VICTORIA STREET N, Woolwich, ON",Single Family,1999900,N/A,5600 (2024),4,4
"750 LAWRENCE Street Unit# 79, Cambridge, ON",Condo,664000,1912,N/A,3,3
"974 LISBON Road, Wellesley, ON",Single Family,1249999,N/A,N/A,4,4
"20 GOLDIE MILL Road, Ayr, ON",Condo/Townhome,734900,2026,3400,3,3
"931 GLASGOW Street Unit# 9C, Kitchener, ON",Condo,640000,1480,3118,3,2
"70 WILLOWRUN Drive Unit# A1, Kitchener, ON",Condo,788988,1635,N/A,2,3
"230 LINDEN DRIVE, Cambridge, ON",Single Family,645000,N/A,N/A,4,2
"69 PEPPLER Street, Waterloo, ON",MultiFamily,825000,1575,4962,5,2
"69 PEPPLER Street, Waterloo, ON",Single Family,825000,1575,4962,3,2
"280 LESTER Street Unit# 406, Waterloo, ON",Condo,399900,530,N/A,1,1
"107 WESTRA Drive Unit# 67, Guelph, ON",Condo/Townhome,614999,1333,3721,2,2
"11 (LOT 9) ALBERT Street, St. Clements, ON",Single Family,1639000,N/A,N/A,3,3
"703 - 60 FREDERICK ST STREET, Kitchener, ON",Condo,384900,N/A,N/A,2,1
"372 RIVER OAK Place, Waterloo, ON",Single Family,3999888,8998,N/A,6,8
"106 BARD Boulevard Unit# 319, Guelph, ON",Condo,668800,1064,N/A,2,2
"462 ARKELL Road, Puslinch, ON",Single Family,1150000,1522,5606,4,2
"546 BALSAM POPLAR Street, Waterloo, ON",Single Family,1123900,2103,N/A,3,3
"7624 WELLINGTON RD 51 ROAD, Guelph/Eramosa, ON",Single Family,1339900,N/A,6887,5,4
"714 AUTUMN WILLOW Drive, Waterloo, ON",Single Family,1147900,2456,N/A,3,3
"352 CANADA PLUM Street, Waterloo, ON",Single Family,1150900,2399,N/A,3,3
"731 AUTUMN WILLOW Drive, Waterloo, ON",Single Family,1257900,3183,N/A,3,4
"145 BALLANTYNE AVENUE, Cambridge, ON",Single Family,1179000,N/A,N/A,5,5
"9 TOLTON DRIVE, Guelph (Pine Ridge), ON",Single Family,1299000,N/A,N/A,4,4
"8 PONY Way, Kitchener, ON",Single Family,799000,1709,4278,3,4
"4 - 375 PIONEER DRIVE, Kitchener, ON",Condo,589900,N/A,N/A,4,3
"366 - 258 C SUNVIEW STREET, Waterloo, ON",Condo,650000,N/A,N/A,3,2
"362 DUKE STREET W, Kitchener, ON",Single Family,689000,N/A,4497,6,3
"33 FOREST GLEN Court, Kitchener, ON",Single Family,689900,1537,3800,4,2
"1960 WEST RIVER ROAD, Cambridge, ON",Single Family,1999999,N/A,8929,5,4
"913 RIVER RIDGE COURT, Kitchener, ON",Single Family,1579900,N/A,N/A,5,4
"23 ALBERT STREET, Cambridge, ON",Single Family,750000,N/A,N/A,4,3
"102 - 201 ELMIRA ROAD, Guelph (West Willow Woods), ON",Condo,529000,N/A,N/A,2,1
"109 COLLEGE Street, Kitchener, ON",MultiFamily,1100000,2364,N/A,0,0
"61 WOOLWICH Street N, Breslau, ON",Vacant Land,4300000,N/A,N/A,N/A,0
"214 WEBER Street E, Kitchener, ON",MultiFamily,945000,2285,N/A,7,3
"62 WILLIAM NADOR STREET, Kitchener, ON",Single Family,1148000,N/A,N/A,4,3
"2705 KINGSWAY DRIVE, Kitchener, ON",Condo,649900,N/A,N/A,2,3
"1751 SAWMILL ROAD, Woolwich, ON",Vacant Land,1000000,N/A,230,N/A,0
"300 GRANITE HILL Road, Cambridge, ON",Single Family,1299999,N/A,6784,6,4
"31 MILL Street Unit# 65, Kitchener, ON",Condo,735425,1154,N/A,2,3
"31 MILL Street Unit# 56, Kitchener, ON",Condo,735425,1154,N/A,2,3
"31 MILL Street Unit# 53, Kitchener, ON",Condo,735425,1154,N/A,2,3
"31 MILL Street Unit# 50, Kitchener, ON",Condo,735425,1154,N/A,2,3
"31 MILL Street Unit# 47, Kitchener, ON",Condo,735425,1154,N/A,2,3
"31 MILL Street Unit# 38, Kitchener, ON",Condo,735425,1154,N/A,2,3
"31 MILL Street Unit# 74, Kitchener, ON",Condo,735425,1154,N/A,2,3
"31 MILL Street Unit# 35, Kitchener, ON",Condo,735425,1154,N/A,2,3
"31 MILL Street Unit# 68, Kitchener, ON",Condo,735425,1154,N/A,2,3
"31 MILL Street Unit# 71, Kitchener, ON",Condo,735425,1154,N/A,2,3
"31 MILL Street Unit# 83, Kitchener, ON",Condo,735425,1154,N/A,2,3
"31 MILL Street Unit# 29, Kitchener, ON",Condo,735425,1154,N/A,2,3
"31 MILL Street Unit# 32, Kitchener, ON",Condo,735425,1154,N/A,2,3
"31 MILL Street Unit# 86, Kitchener, ON",Condo,735425,1154,N/A,2,3
"31 MILL Street Unit# 89, Kitchener, ON",Condo,735425,1154,N/A,2,3
"31 MILL Street Unit# 92, Kitchener, ON",Condo,735425,1154,N/A,2,3
"2504 - 32 DUKE STREET, Kitchener, ON",Condo,429000,N/A,N/A,1,1
"31 MILL Street Unit# 26, Kitchener, ON",Condo,771100,1402,N/A,3,3
"31 MILL Street Unit# 94, Kitchener, ON",Condo,771100,1402,N/A,3,3
"31 MILL Street Unit# 24, Kitchener, ON",Condo,706675,1229,N/A,2,2
"31 MILL Street Unit# 25, Kitchener, ON",Condo,711700,1294,N/A,3,3
"31 MILL Street Unit# 59, Kitchener, ON",Condo,761750,1237,N/A,2,3
"31 MILL Street Unit# 93, Kitchener, ON",Condo,711700,1294,N/A,3,3
"31 MILL Street Unit# 62, Kitchener, ON",Condo,761750,1237,N/A,2,3
"31 MILL Street Unit# 80, Kitchener, ON",Condo,697400,1161,N/A,2,3
"31 MILL Street Unit# 41, Kitchener, ON",Condo,697400,1161,N/A,2,3
"31 MILL Street Unit# 2, Kitchener, ON",Condo,706675,1229,N/A,2,2
"31 MILL Street Unit# 16, Kitchener, ON",Condo,658950,1146,N/A,2,2
"31 MILL Street Unit# 77, Kitchener, ON",Condo,697400,1161,N/A,2,3
"31 MILL Street Unit# 44, Kitchener, ON",Condo,697400,1161,N/A,2,3
"318 SPRUCE Street Unit# 1804, Waterloo, ON",Condo,375000,527,2990,1,1
"31 MILL Street Unit# 14, Kitchener, ON",Condo,658950,1146,N/A,2,2
"31 MILL Street Unit# 6, Kitchener, ON",Condo,641700,1116,N/A,2,2
"31 MILL Street Unit# 10, Kitchener, ON",Condo,641700,1116,N/A,2,2
"31 MILL Street Unit# 12, Kitchener, ON",Condo,641700,1116,N/A,2,2
"33 MILL Street, Kitchener, ON",Condo,725000,1450,N/A,2,3
"31 MILL Street Unit# 46, Kitchener, ON",Condo,389000,500,N/A,1,1
"31 MILL Street Unit# 4, Kitchener, ON",Condo,641700,1116,N/A,2,2
"31 MILL Street Unit# 34, Kitchener, ON",Condo,389000,500,N/A,1,1
"31 MILL Street Unit# 37, Kitchener, ON",Condo,389000,500,N/A,1,1
"31 MILL Street Unit# 88, Kitchener, ON",Condo,389000,500,N/A,1,1
"31 MILL Street Unit# 31, Kitchener, ON",Condo,389000,500,N/A,1,1
"31 MILL Street Unit# 28, Kitchener, ON",Condo,389000,500,N/A,1,1
"35 KINGSBURY Square Unit# 414, Guelph, ON",Condo,782500,1398,N/A,3,3
"31 MILL Street Unit# 33, Kitchener, ON",Condo,364900,545,N/A,1,1
"31 MILL Street Unit# 81, Kitchener, ON",Condo,364900,545,N/A,1,1
"31 MILL Street Unit# 72, Kitchener, ON",Condo,364900,545,N/A,1,1
"31 MILL Street Unit# 30, Kitchener, ON",Condo,364900,545,N/A,1,1
"31 MILL Street Unit# 84, Kitchener, ON",Condo,364900,545,N/A,1,1
"31 MILL Street Unit# 27, Kitchener, ON",Condo,364900,545,N/A,1,1
"31 MILL Street Unit# 87, Kitchener, ON",Condo,364900,545,N/A,1,1
"197 PALMER Avenue, Kitchener, ON",MultiFamily,899900,N/A,N/A,3,3
"50 CLYTHE CREEK DRIVE, Guelph (Grange Hill East), ON",Single Family,1150000,N/A,N/A,3,4
"55 DUKE Street W Unit# 426, Kitchener, ON",Condo,924990,1387,N/A,3,3
"55 DUKE Street W Unit# 420, Kitchener, ON",Condo,839990,1373,N/A,3,3
"44 - 290 EQUESTRIAN WAY, Cambridge, ON",Single Family,699000,N/A,N/A,5,2
"4453 SIDEROAD 20 Road, Puslinch, ON",Single Family,4199900,2960,N/A,4,2
"301 SHAKESPEARE Drive, Waterloo, ON",Single Family,1999900,N/A,N/A,5,7
"807 - 128 KING STREET, Waterloo, ON",Condo,459900,N/A,N/A,2,1
"619 WILD GINGER Avenue Unit# G41, Waterloo, ON",Condo/Townhome,609000,1688,N/A,4,3
"204 - 253 LESTER STREET, Waterloo, ON",Condo,595000,N/A,N/A,5,2
"31 MILL Street Unit# 90, Kitchener, ON",Condo,364900,545,N/A,1,1
"31 MILL Street Unit# 54, Kitchener, ON",Condo,364900,545,N/A,1,1
"31 MILL Street Unit# 48, Kitchener, ON",Condo,364900,545,N/A,1,1
"31 MILL Street Unit# 51, Kitchener, ON",Condo,364900,545,N/A,1,1
"31 MILL Street Unit# 69, Kitchener, ON",Condo,364900,545,N/A,1,1
"31 MILL Street Unit# 66, Kitchener, ON",Condo,364900,545,N/A,1,1
"31 MILL Street Unit# 36, Kitchener, ON",Condo,364900,545,N/A,1,1
"493 BEAUMONT CRESCENT, Kitchener, ON",Single Family,779000,N/A,N/A,3,3
"2008 WITMER Road, Petersburg, ON",Single Family,2790000,N/A,N/A,4,4
"324 KING Street, Waterloo, ON",MultiFamily,10999000,290034,N/A,0,0
"230 STANLEY Drive, Waterloo, ON",Single Family,4450000,5781,N/A,6,6
"40 - 570 LINDEN DRIVE, Cambridge, ON",Single Family,749786,N/A,N/A,3,3
"381 MIDDLE STREET S, Cambridge, ON",Vacant Land,459000,N/A,N/A,N/A,0
"2 DUNKIRK Avenue, Guelph, ON",Single Family,629900,1428,2956,2,1
"255 KEATS Way Unit# 301, Waterloo, ON",Condo,729900,1800,5217,3,2
"7 URBANE Boulevard Unit# J078, Kitchener, ON",Condo,731900,1894,N/A,3,3
"16 WALTER Street, Guelph, ON",Single Family,750000,1164,N/A,3,3
"12 BROADVIEW AVENUE, Cambridge, ON",Single Family,699999,N/A,N/A,4,3
"62 BALSAM Street Unit# B107, Waterloo, ON",Condo,399900,1191,N/A,N/A,0
"16 MCDOUGALL Road, Waterloo, ON",Vacant Land,650000,N/A,N/A,N/A,0
"59 DIAMOND Street, Tavistock, ON",Single Family,1025159,2329,N/A,4,3
"48 HARVEY Street, Cambridge, ON",Single Family,775000,N/A,N/A,3,1
"188 KING Street S Unit# 302, Waterloo, ON",Condo,639000,N/A,N/A,2,2
"906 KING Street E, Cambridge, ON",MultiFamily,898000,3250,6367,8,6
"66 GRANGE Street, Guelph, ON",Single Family,3350000,4910,N/A,5,6
"168 WINSTON Boulevard, Cambridge, ON",Single Family,775000,1650,3278,4,2
"131 UNION Street E Unit# 106, Waterloo, ON",Condo,479900,1050,N/A,N/A,0
"156 NEWMAN Drive, Cambridge, ON",Single Family,1230999,2321,N/A,4,3
"754 KUMMER Crescent, Cambridge, ON",Single Family,699900,1099,3381,3,2
"136 FLOCKHART ROAD, Cambridge, ON",Single Family,775000,N/A,N/A,3,2
"225 FREURE DRIVE, Cambridge, ON",Single Family,1749000,N/A,N/A,5,4
"2306 - 108 GARMENT STREET, Kitchener, ON",Condo,414900,N/A,N/A,2,1
"4453 SIDEROAD 20 Road, Puslinch, ON",Agricultural,4199900,2960,N/A,4,2
"1839 8TH CONCESSION RD W. Road, Flamborough, ON",Agricultural,2299000,1834,N/A,3,2
"1837 8TH CON RD W Road W, Flamborough, ON",Single Family,2299000,1280,N/A,1,1
"1480 MANNHEIM Road, Mannheim, ON",Single Family,1899000,3159,N/A,4,4
"531 BROOKHAVEN Crescent Unit# A, Waterloo, ON",Single Family,688000,N/A,N/A,3,2
"25A AMOS AVENUE, Waterloo, ON",Single Family,499000,N/A,N/A,6,5
"25-B AMOS AVENUE, Waterloo, ON",Single Family,899000,N/A,N/A,4,2
"300 DEERFOOT TRAIL, Waterloo, ON",Single Family,1769000,N/A,N/A,5,6
"85 DUKE Street W Unit# 507, Kitchener, ON",Condo,424900,567,3029,1,1
"112 KENT Street, Cambridge, ON",Single Family,875000,2445,4929,3,3
"827 BIRCHMOUNT DRIVE, Waterloo, ON",Single Family,1995000,N/A,10163 (2024),6,4
"360 MELROSE Street, Cambridge, ON",Vacant Land,400000,N/A,N/A,N/A,0
"362 MELROSE Street, Cambridge, ON",Vacant Land,400000,N/A,N/A,N/A,0
"364 MELROSE Street, Cambridge, ON",Vacant Land,400000,N/A,N/A,N/A,0
"25 ISHERWOOD Avenue Unit# 128, Cambridge, ON",Condo,549900,1068,N/A,2,2
"67 BLOOMFIELD CRESCENT, Cambridge, ON",Single Family,1050000,N/A,N/A,3,3
"B - 304 BLUEVALE STREET N, Waterloo, ON",Condo/Townhome,649000,N/A,N/A,3,3
"607 - 128 KING STREET N, Waterloo, ON",Condo,475000,N/A,339,2,1
"365 MIDDLE Street, Cambridge, ON",Vacant Land,400000,N/A,N/A,N/A,0
"359 MIDDLE Street, Cambridge, ON",Vacant Land,400000,N/A,N/A,N/A,0
"14 CARINA Crescent Unit# Lot 11, Kitchener, ON",Single Family,1189900,2130,N/A,3,3
"6 SHETTLESTON Street Unit# 306, Cambridge, ON",Condo,469000,998,1900,2,1
"44 WILHELM Street, Kitchener, ON",MultiFamily,675000,1750,N/A,0,0
"182 LYNNBROOK Crescent, Waterloo, ON",Single Family,759900,2425,N/A,6,3
"182 LYNNBROOK Crescent, Waterloo, ON",MultiFamily,759900,2425,N/A,6,3
"44 WILHELM Street, Kitchener, ON",Vacant Land,1350000,N/A,N/A,N/A,0
"44 WILHELM Street, Kitchener, ON",Single Family,675000,1750,N/A,4,4
"404 KING Street W Unit# 117, Kitchener, ON",Condo,449900,678,N/A,2,1
"320 OTTERBEIN Road, Kitchener, ON",Single Family,1999000,4282,8581,5,5
"17 - 324 EQUESTRIAN WAY E, Cambridge, ON",Condo/Townhome,749999,N/A,3726,3,3
"60 BOND Street Unit# Lot 1, Cambridge, ON",Vacant Land,199900,N/A,N/A,N/A,0
"1706 - 15 GLEBE STREET, Cambridge, ON",Condo,449900,N/A,2961,1,1
"49 ELSEGOOD DRIVE, Guelph (Village), ON",Single Family,984000,N/A,3845 (2023),3,3
"1700 DUNDAS Street S, Cambridge, ON",Single Family,899000,1470,N/A,3,2
"40 MAIN STREET, Cambridge, ON",MultiFamily,1750000,4300,N/A,N/A,3
"68 AMOS AVENUE, Waterloo, ON",Single Family,888000,N/A,N/A,4,2
"29 BLOOMFIELD CRES DRIVE, Cambridge, ON",Single Family,1349900,N/A,N/A,5,5
"253 LESTER Street Unit# 101, Waterloo, ON",Condo,607000,1209,N/A,5,2
"296 DEARBORN BOULEVARD, Waterloo, ON",Single Family,899900,N/A,N/A,4,3
"516 - 251 HEMLOCK STREET, Waterloo, ON",Condo,509000,N/A,N/A,2,2
"604 - 1098 PAISLEY ROAD, Guelph (Parkwood Gardens), ON",Condo,798630,N/A,N/A,2,2
"250 ALBERT Street Unit# 515, Waterloo, ON",Condo,365000,N/A,N/A,1,1
"11 PIONEER GROVE Road, Puslinch, ON",Single Family,2749900,3023,8400,3,3
"15 WELLINGTON Street S Unit# 2901, Kitchener, ON",Condo,530000,560,N/A,2,1
"51 BENTON STREET S, Kitchener, ON",Vacant Land,8500000,15207,27298,N/A,0
"#CP-228 - 330 PHILLIP STREET, Waterloo, ON",Condo,519999,N/A,N/A,2,1
"66 UNION STREET E, Waterloo, ON",Single Family,450000,N/A,4708 (2024),3,2
"7 MEADOWBROOK Drive, Kitchener, ON",Single Family,1050000,3450,5630,4,3
"733 AUTUMN WILLOW Drive, Waterloo, ON",Single Family,1194900,2823,N/A,4,4
"543 BALSAM POPLAR Street, Waterloo, ON",Single Family,1266900,2806,N/A,4,3
"541 BALSAM POPLAR Street, Waterloo, ON",Single Family,1266900,2786,N/A,4,4
"723 AUTUMN WILLOW Drive, Waterloo, ON",Single Family,1203900,2934,N/A,4,4
"58 BRIDGEPORT Road E Unit# 607, Waterloo, ON",Condo,425000,1132,N/A,2,1
"375 KING Street N Unit# 102, Waterloo, ON",Condo,299900,N/A,N/A,2,1
"5072 WELLINGTON RD 32, Guelph, ON",Agricultural,5250000,1629,7790,3,3
"225 HARVARD Place Unit# 810, Waterloo, ON",Condo,370000,938,N/A,2,2
"465 PINEBUSH Road Unit# 4, Cambridge, ON",Condo,1900000,2788,10334,N/A,0
"36 OXFORD Street, Cambridge, ON",Vacant Land,160000,N/A,N/A,N/A,0
"312 - 332 GOSLING GARDENS, Guelph (Hanlon Industrial), ON",Condo,649900,N/A,N/A,2,2
"693 ARKELL Road S, Puslinch, ON",Vacant Land,1299000,N/A,N/A,N/A,0
"77 LANCASTER STREET W, Kitchener, ON",MultiFamily,1650000,N/A,6569 (2023),7,7
"271 GREY SILO Road Unit# 44, Waterloo, ON",Condo,819900,1836,N/A,4,4
"73 HOLLAND Circle, Cambridge, ON",Single Family,875000,1634,4733,3,3
"175 COMMONWEALTH Street Unit# 210, Kitchener, ON",Condo,429900,596,N/A,1,1
"62 BLOOMFIELD CRESCENT, Cambridge, ON",Single Family,1125000,N/A,N/A,3,3
"38 - 420 LINDEN DRIVE, Cambridge, ON",Condo,699000,N/A,5087,3,3
"367 VICTORIA STREET S, Wilmot, ON",Vacant Land,1110000,N/A,N/A,N/A,0
"1401 WRIGLEY Road, Ayr, ON",Single Family,1499000,3866,N/A,5,3
"68 WEYMOUTH Street, Elmira, ON",Single Family,1075000,1435,N/A,2,2
"250 GLENRIDGE Drive Unit# 1106, Waterloo, ON",Condo,690000,1743,3870,3,2
"1436 SNYDERS ROAD E, Wilmot, ON",Single Family,3499000,N/A,6079,5,5
"5 WELLINGTON Street S Unit# 1511, Kitchener, ON",Condo,459900,620,N/A,2,1
"71 WYNDHAM Street S Unit# 203, Guelph, ON",Condo,875000,1330,N/A,3,2
"85 DUKE Street W Unit# 1404, Kitchener, ON",Condo,534900,885,3721,2,2
"20 ST GEORGE Street Unit# 506, Kitchener, ON",Condo,299900,839,N/A,2,1
"261 WHITMORE Drive, Waterloo, ON",Single Family,2299000,4444,N/A,4,4
"508 - 55 DUKE STREET W, Kitchener, ON",Condo,589999,N/A,2155,2,2
"PART LOT 7 CHEESE FACTORY Road, Branchton, ON",Vacant Land,940000,N/A,N/A,N/A,0
"405 ERB STREET W UNIT#306, Waterloo, ON",Condo,535000,N/A,3010 (2023),4,2
"1642 SAWMILL Road, Conestogo, ON",Single Family,999000,850,N/A,4,1
"1642 SAWMILL Road, Conestogo, ON",Vacant Land,999000,N/A,N/A,N/A,0
"134 KITCHENER Road Unit# Lot 2, Cambridge, ON",Vacant Land,425000,N/A,1700,N/A,0
"46 BRIDGE STREET E, Kitchener, ON",Single Family,570000,N/A,3018 (2024),2,2
"225 SHAKESPEARE Drive Unit# 9, Waterloo, ON",Single Family,699900,1900,N/A,5,3
"35 QUEEN Street, Guelph, ON",Single Family,1950000,N/A,N/A,7,5
"619 WILD GINGER Avenue Unit# B11, Waterloo, ON",Condo,854900,2020,N/A,3,5
"50 RIFE Avenue, Cambridge, ON",MultiFamily,1149900,3000,N/A,5,4
"47 HYLAND Road, Guelph, ON",Single Family,995000,1476,N/A,4,1
"36 WESTHILL Drive, Waterloo, ON",Vacant Land,4500000,N/A,N/A,N/A,0
"13 URBANE Boulevard Unit# I075, Kitchener, ON",Condo,770866,1894,N/A,3,3
"120 MANSION Street Unit# 506, Kitchener, ON",Condo,419900,610,N/A,1,1
"5 WELLINGTON Street S Unit# 211, Kitchener, ON",Condo,475000,640,2557,2,1
"3 ST CHARLES Street W, Maryhill, ON",Single Family,1050000,2669,N/A,3,2
"611 LANCASTER Street W, Kitchener, ON",MultiFamily,899900,N/A,N/A,7,5
"648 DOON VILLAGE Road Unit# 5, Kitchener, ON",Condo,499000,1200,2975,3,3
"8013 HIGHWAY 7, Guelph/Eramosa, ON",Vacant Land,2500,N/A,N/A,3,2
"8486 SIDE ROAD 10 SIDE ROAD, Guelph/Eramosa (Rockwood), ON",Single Family,1774900,N/A,N/A,5,4
"19 BENNINGER Drive Unit# B010, Kitchener, ON",Condo,773900,2018,N/A,3,4
"62 BALSAM Street Unit# H204, Waterloo, ON",Condo,520000,960,3191,2,2
"58 BRIDGEPORT Road Unit# 403, Waterloo, ON",Condo,420000,1119,N/A,2,1
"228 FREURE Drive, Cambridge, ON",Single Family,1260000,2264,N/A,4,3
"62 BALSAM Street Unit# T210, Waterloo, ON",Condo/Townhome,688000,1840,N/A,3,3
"PART 6 WANLESS Court, Ayr, ON",Vacant Land,6250000,N/A,7827,N/A,0
"42 HAZELGLEN Drive Unit# 19, Kitchener, ON",Condo,632900,1094,N/A,2,2
"42 HAZELGLEN Drive Unit# 20, Kitchener, ON",Condo,574900,1002,N/A,2,2
"42 HAZELGLEN Drive Unit# 18, Kitchener, ON",Condo,618900,1071,N/A,2,2
"42 HAZELGLEN Drive Unit# 1, Kitchener, ON",Condo,571500,1002,N/A,2,2
"42 HAZELGLEN Drive Unit# 5, Kitchener, ON",Condo,557500,978,N/A,2,2
"42 HAZELGLEN Drive Unit# 2, Kitchener, ON",Condo,630700,1095,N/A,2,2
"42 HAZELGLEN Drive Unit# 6, Kitchener, ON",Condo,616500,1072,N/A,2,2
"42 HAZELGLEN Drive Unit# 4, Kitchener, ON",Condo,558600,980,N/A,2,2
"42 HAZELGLEN Drive Unit# 3, Kitchener, ON",Condo,621000,1080,N/A,2,2
"42 HAZELGLEN Drive Unit# 7, Kitchener, ON",Condo,618700,1076,N/A,2,2
"42 HAZELGLEN Drive Unit# 8, Kitchener, ON",Condo,561500,986,N/A,2,2
"42 HAZELGLEN Drive Unit# 9, Kitchener, ON",Condo,564800,989,N/A,2,2
"42 HAZELGLEN Drive Unit# 10, Kitchener, ON",Condo,646900,1113,N/A,2,2
"42 HAZELGLEN Drive Unit# 11, Kitchener, ON",Condo,649900,1118,N/A,2,2
"42 HAZELGLEN Drive Unit# 12, Kitchener, ON",Condo,567000,993,N/A,2,2
"42 HAZELGLEN Drive Unit# 13, Kitchener, ON",Condo,552900,965,N/A,2,2
"42 HAZELGLEN Drive Unit# 14, Kitchener, ON",Condo,618500,1072,N/A,2,2
"42 HAZELGLEN Drive Unit# 15, Kitchener, ON",Condo,623900,1081,N/A,2,2
"42 HAZELGLEN Drive Unit# 16, Kitchener, ON",Condo,560900,980,N/A,2,2
"42 HAZELGLEN Drive Unit# 17, Kitchener, ON",Condo,552900,965,N/A,2,2
"30 MAXWELL DRIVE, Kitchener, ON",Single Family,984900,N/A,N/A,4,3
"66 METCALFE Street, Guelph, ON",Single Family,2498000,4369,9783,4,4
"16 GOLDIE MILL Road, Ayr, ON",Condo,759900,1682,N/A,3,3
"62 BAKER Street, Guelph, ON",Condo,650000,1594,N/A,N/A,0
"60 BAKER Street, Guelph, ON",Condo,850000,2230,N/A,N/A,0
"404 KING Street W Unit# 217, Kitchener, ON",Condo,334999,641,N/A,2,1
"LOT 0078 JACOB DETWEILLER Drive, Kitchener, ON",Single Family,939900,1642,N/A,3,3
"4508 SIDEROAD 10 NORTH, Puslinch, ON",Single Family,9895000,13619,N/A,7,9
"212 SERENE Way Unit# H068, Kitchener, ON",Condo,603283,1472,N/A,2,3
"214 SERENE Way Unit# H069, Kitchener, ON",Condo/Townhome,543846,1304,N/A,2,3
"45 BLAIR Road Unit# 7, Cambridge, ON",Single Family,1249900,2275,N/A,3,3
"45 BLAIR Road Unit# 4, Cambridge, ON",Single Family,1599900,2530,N/A,3,3
"806 DUKE Street, Cambridge, ON",MultiFamily,1225000,N/A,4275,7,4
"201 ELMIRA Road S Unit# 210, Guelph, ON",Condo,499000,659,N/A,1,1
"108 GARMENT Street Unit# 1805, Kitchener, ON",Condo,650000,830,N/A,2,2
"410 NORTHFIELD Drive W Unit# C1, Waterloo, ON",Condo,689900,1325,N/A,2,2
"410 NORTHFIELD Drive W Unit# B1, Waterloo, ON",Condo,679900,1320,N/A,2,2
